state,account_length,area_code,intl_plan,voicemail_plan,no_of_vmail_msgs,total_day_mins,total_day_calls,total_day_charge,total_eve_mins,total_eve_calls,total_eve_charge,total_night_mins,total_night_calls,total_night_charge,total_intl_mins,total_intl_calls,total_intl_charge,customer_service_calls,churn,total_usage_mins,day_ratio,eve_ratio,night_ratio,intl_ratio,custserv_per_month,active_vmail,avg_cost_per_min
RI,74,415,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,556.2,0.3374685364976627,0.2937792161093132,0.3523912261776339,0.016361021215390147,0.0,0,0.17000532765050613
IA,168,408,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,386.0,0.333678756476684,0.2717616580310881,0.3655440414507772,0.029015544041450774,0.17857142857142858,0,0.1700310559006211
MT,95,510,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,608.8,0.25722733245729307,0.4067017082785808,0.31586727989487523,0.02020367936925099,0.9473684210526316,0,0.1699872286079183
IA,62,415,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,644.0,0.18742236024844722,0.47701863354037266,0.31521739130434784,0.020341614906832298,1.9354838709677418,0,0.1700082850041425
NY,161,415,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,816.7,0.4076160156728296,0.3891269744092078,0.19664503489653481,0.006611975021427697,0.7453416149068324,0,0.16999098828477022
ID,85,408,0,1,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,0,580.3999999999999,0.33838731909028263,0.48397656788421783,0.15385940730530673,0.023776705720192977,0.3529411764705882,1,0.170010183299389
VT,93,510,0,0,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,0,546.6,0.3488840102451518,0.39919502378338817,0.23710208562019758,0.014818880351262349,0.9677419354838709,0,0.1700052438384898
VA,76,510,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1,0,578.2,0.3280871670702179,0.36803874092009686,0.28657903839501897,0.017295053614666205,0.39473684210526316,1,0.17000527148128625
TX,73,415,0,0,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1,0,589.7,0.3805324741393929,0.2704765134814312,0.3269459046973037,0.022045107681872136,0.4109589041095891,0,0.17000891265597146
FL,147,415,0,0,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,0,614.1999999999999,0.2525236079452947,0.39026375773363725,0.3399544122435689,0.017258222077499188,0.0,0,0.1700193423597679
CO,77,408,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,1,447.59999999999997,0.13941018766756033,0.3795799821268991,0.4682752457551385,0.012734584450402146,1.9480519480519478,0,0.1700320512820513
AZ,130,415,0,0,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,0,447.20000000000005,0.40921288014311263,0.16301431127012522,0.40652951699463324,0.0212432915921288,0.0,0,0.16999999999999998
SC,111,415,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,0,445.0,0.24808988764044945,0.30853932584269667,0.4260674157303371,0.017303370786516854,0.5405405405405405,0,0.17001811594202898
VA,132,510,0,0,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0,0,573.5999999999999,0.14138772663877266,0.4274755927475593,0.4131799163179917,0.017956764295676435,0.0,0,0.17003699136868064
NE,174,415,0,0,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,0,667.6,0.18618933493109646,0.41506890353505094,0.3755242660275614,0.02321749550629119,0.5172413793103449,0,0.16999195494770716
WY,57,408,0,1,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,0,596.3,0.3572027502934765,0.32047627033372467,0.3063894013080664,0.01593157806473252,0.0,1,0.17
MT,54,408,0,0,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,0,406.59999999999997,0.3303000491883916,0.38243974422036403,0.2511067388096409,0.03615346778160354,1.6666666666666665,0,0.16999255398361873
MO,20,415,0,0,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,0,636.0,0.29874213836477986,0.40597484276729556,0.28537735849056606,0.00990566037735849,0.0,0,0.16999999999999998
HI,49,510,0,0,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,0,524.1999999999999,0.2275848912628768,0.4103395650515071,0.34090041968714235,0.021175123998473867,0.6122448979591837,0,0.16999161777032692
IL,142,415,0,0,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2,0,486.2,0.174413821472645,0.2811600164541341,0.5152200740436035,0.029206088029617442,0.4225352112676056,0,0.17004716981132076
NH,75,510,0,0,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1,0,684.0999999999999,0.3305072357842421,0.2945475807630464,0.3598889051308289,0.015056278321882768,0.4,0,0.17001326846528084
LA,172,408,0,0,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3,0,549.1,0.3860863230741213,0.05682025132034237,0.5341467856492442,0.022946639956292113,0.5232558139534884,0,0.16999999999999998
AZ,12,408,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,1,794.0,0.31435768261964736,0.3178841309823678,0.352896725440806,0.014861460957178841,2.5,0,0.1699919871794872
OK,57,408,0,1,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0,0,593.5999999999999,0.29784366576819415,0.3285040431266847,0.35966981132075476,0.01398247978436658,0.0,1,0.17002262443438912
GA,72,415,0,1,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,0,604.8000000000001,0.3637566137566137,0.359292328042328,0.2526455026455026,0.024305555555555552,1.25,1,0.16999999999999998
AK,36,408,0,1,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,0,452.6,0.3232434821034026,0.35903667697746355,0.2856827220503756,0.032037118868758284,0.0,1,0.16999316473000683
MA,78,415,0,0,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1,0,592.3,0.22083403680567285,0.3776802296133716,0.384602397433733,0.01688333614722269,0.3846153846153846,0,0.17003058103975532
AK,136,415,1,1,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3,0,503.7,0.40480444709152275,0.372443915028787,0.20190589636688505,0.02084574151280524,0.6617647058823529,1,0.16998528690534573
NJ,149,408,0,0,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1,0,611.6,0.22956180510137345,0.44440810987573576,0.3078809679529104,0.01814911706998038,0.20134228187919462,0,0.170014245014245
GA,98,408,0,0,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3,0,490.3,0.25759738935345705,0.34019987762594334,0.38303079747093616,0.019171935549663472,0.9183673469387755,0,0.16999208234362628
MD,135,408,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0,1,513.8,0.3369015181004282,0.3968470221876217,0.2378357337485403,0.02841572596340989,0.0,1,0.17001733102253033
AR,34,510,0,0,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2,0,728.5,0.17131091283459163,0.38737131091283455,0.42759094028826355,0.013726835964310227,1.7647058823529411,0,0.1700320512820513
ID,160,415,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,438.8,0.19553327256153144,0.37670920692798543,0.4067912488605287,0.02096627164995442,0.5625,0,0.17004662004662005
WI,64,510,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,648.6,0.23743447425223557,0.34813444341658956,0.40903484427998765,0.005396238051187172,0.46875,0,0.16999999999999998
OR,59,408,0,1,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,505.5,0.23916913946587537,0.42136498516320475,0.32265084075173095,0.016815034619188922,1.0169491525423728,1,0.16997518610421836
MI,65,415,0,0,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,0,521.8,0.4049444231506325,0.3116136450747413,0.25814488309697203,0.025297048677654276,1.3846153846153848,0,0.16999526739233317
DE,142,408,0,0,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,571.1999999999999,0.32738095238095244,0.23564425770308126,0.4240196078431373,0.012955182072829134,0.4225352112676056,0,0.16999999999999998
ID,119,415,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,1,542.3999999999999,0.29332595870206496,0.4264380530973453,0.26401179941002956,0.01622418879056048,1.2605042016806722,0,0.1700188560653677
WY,97,415,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,432.0,0.3083333333333333,0.5027777777777778,0.16342592592592592,0.02546296296296296,0.30927835051546393,1,0.16996996996997
IA,52,408,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,706.3,0.271697578932465,0.3819906555288122,0.3352682995894096,0.011043465949313323,1.7307692307692306,0,0.16998436685773838
IN,60,408,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,687.5,0.32087272727272725,0.30705454545454547,0.36218181818181816,0.00989090909090909,0.5,0,0.16999093381686312
VA,10,408,0,0,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0,670.4999999999999,0.2775540641312454,0.28366890380313203,0.4217747949291574,0.01700223713646533,6.0,0,0.17001612036539496
UT,96,415,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,665.5,0.2407212622088655,0.4019534184823441,0.34335086401202103,0.013974455296769347,0.625,0,0.16997503121098628
WY,87,415,0,0,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,584.3000000000001,0.258428889269211,0.3760054766387129,0.34896457299332534,0.01660106109875064,1.7241379310344829,0,0.17
IN,81,408,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,705.2,0.24886557005104934,0.353516732841747,0.3831537152580828,0.014463981849120814,0.37037037037037035,0,0.17002849002849002
CO,141,415,0,0,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,455.7,0.2784726793943384,0.39499670836076367,0.3089752029844196,0.017555409260478386,0.2127659574468085,0,0.16997635933806146
CO,121,408,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,460.7,0.4306490123724767,0.16344692858693294,0.39331452138050793,0.012589537660082483,0.7438016528925621,1,0.17001008064516127
WI,68,415,0,0,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,0,537.2,0.27699180938198065,0.45886075949367083,0.24162323157110946,0.022524199553239015,1.3235294117647058,0,0.1700268817204301
OK,125,408,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,608.0,0.37713815789473687,0.2917763157894737,0.31134868421052636,0.019736842105263157,0.24,0,0.16999563890100303
ID,174,408,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,540.0,0.35574074074074075,0.31462962962962965,0.3085185185185185,0.021111111111111112,0.1724137931034483,0,0.1700156168662155
CA,116,415,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,624.7,0.42996638386425484,0.2852569233231951,0.26620777973427245,0.01856891307827757,0.5172413793103449,1,0.16999255398361873
MN,74,510,0,1,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2,0,592.4,0.32697501688048614,0.41542876434841325,0.23295070898041864,0.02464550979068197,0.8108108108108107,1,0.17000516262261228
SD,149,408,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,646.6,0.27946180018558614,0.2904423136405815,0.4106093411691927,0.01948654500463965,0.6040268456375839,1,0.170005534034311
NC,38,408,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,461.3,0.28441361370041185,0.3531324517667462,0.3446780836765662,0.01777585085627574,1.5789473684210527,0,0.16996951219512196
WA,40,415,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,537.9000000000001,0.27532998698642863,0.31511433351924145,0.39802937348949613,0.011526306004833611,1.5,1,0.1700202565833896
WY,43,415,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,631.4,0.39832119100411784,0.3370288248337029,0.24992081089642068,0.014729173265758634,0.0,0,0.17001988071570576
MN,113,408,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,469.20000000000005,0.2668371696504689,0.43989769820971864,0.2755754475703325,0.017689684569479967,0.0,0,0.16996805111821087
UT,126,408,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,589.8,0.35876568328246866,0.36775178026449645,0.2602577144794846,0.013224821973550356,0.23809523809523808,0,0.1699905482041588
TX,150,510,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,510.40000000000003,0.3505094043887147,0.33130877742946707,0.2911442006269592,0.027037617554858933,0.8,0,0.16998323085522637
NJ,138,408,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,719.4,0.33611342785654713,0.23700305810397554,0.410480956352516,0.016402557686961357,0.6521739130434783,0,0.17001654259718774
MN,162,510,0,1,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,679.8000000000001,0.33083259782288904,0.2768461312150632,0.37452191821123854,0.017799352750809058,0.0,1,0.1699866607381058
NM,147,510,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,578.0,0.4301038062283737,0.25761245674740485,0.2984429065743945,0.01384083044982699,0.6122448979591836,0,0.16999195494770716
NV,90,415,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,589.8,0.3448626653102747,0.3843675822312648,0.25839267548321465,0.012377076975245847,0.3333333333333333,0,0.17000983284169124
HI,85,415,0,0,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0,0,593.2,0.39750505731625085,0.2650033715441672,0.3172623061362103,0.020229265003371542,0.0,0,0.17001696352841392
MN,50,415,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,567.9,0.2766332100721958,0.39320302870223633,0.3194224335270294,0.010741327698538475,0.6,0,0.17001909611712288
DC,82,415,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,763.1000000000001,0.39352640545144796,0.2371904075481588,0.3539509893854016,0.015332197614991478,0.0,0,0.16999666999666999
NY,144,408,0,0,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,319.9,0.1925601750547046,0.24101281650515785,0.5407939981244139,0.025633010315723664,0.8333333333333334,0,0.16996753246753246
MN,46,415,0,0,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2,0,564.2,0.37947536334633103,0.2913860333215172,0.31460475008862104,0.01453385324353066,1.3043478260869565,0,0.170014012143858
MD,70,408,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,569.0,0.2991212653778559,0.2727592267135325,0.40175746924428823,0.026362038664323375,0.42857142857142855,0,0.16997649823736782
WV,144,415,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,741.8000000000001,0.27109733081693177,0.4091399299002426,0.30196818549474247,0.017794553788083037,0.20833333333333334,0,0.17001491795126802
OR,116,415,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,711.3000000000001,0.3028258118937157,0.28792352031491636,0.39153662308449316,0.017714044706874734,0.7758620689655172,0,0.17000928505106777
CO,55,408,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,488.4,0.3390663390663391,0.2786650286650287,0.35974610974610977,0.022522522522522525,1.6363636363636365,1,0.16998792270531402
GA,70,415,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,741.6999999999999,0.3363893757583929,0.35014156667116086,0.3002561682621006,0.013212889308345695,0.42857142857142855,1,0.17002004008016033
TX,106,510,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,663.5999999999999,0.3173598553345389,0.3755274261603376,0.28842676311030746,0.018685955394816156,0.5660377358490566,0,0.16999050332383664
VT,128,510,0,1,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0,0,736.8000000000001,0.24334961997828447,0.3065960912052117,0.4383821932681867,0.011672095548317045,0.0,1,0.16999442275515894
IN,94,408,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,510.5,0.3093046033300686,0.3036238981390793,0.3714005876591577,0.015670910871694418,1.2765957446808511,0,0.16998100063331223
WV,111,510,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,617.2,0.34721322099805574,0.33781594296824363,0.2955281918340894,0.019442644199611146,0.27027027027027023,0,0.1699953336444237
KY,74,415,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,490.5,0.31416921508664625,0.2515800203873598,0.41202854230377167,0.022222222222222223,0.8108108108108107,1,0.1700194678780013
NJ,128,415,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,708.3,0.33587462939432444,0.34956939150077654,0.2949315261894678,0.019624452915431315,0.234375,0,0.1699873896595208
DC,82,510,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,459.5,0.3131664853101197,0.42415669205658324,0.2385201305767138,0.024156692056583242,0.36585365853658536,0,0.16997915218902016
LA,155,415,0,0,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0,1,599.1999999999999,0.33945260347129513,0.3185914552736983,0.3271028037383178,0.014853137516688921,0.0,0,0.17000983284169124
AR,80,415,0,0,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,558.4,0.2226002865329513,0.3098137535816619,0.45343839541547276,0.014147564469914041,0.375,0,0.16999195494770716
ME,78,415,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,704.7,0.35887611749680715,0.25315737193131826,0.3744855967078189,0.013480913864055626,1.1538461538461537,0,0.16998813760379597
AZ,90,415,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,508.0,0.3525590551181102,0.37519685039370076,0.2513779527559055,0.020866141732283464,1.0,0,0.17001675041876047
AK,104,408,0,0,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,532.3999999999999,0.5229151014274982,0.15214124718256952,0.3065364387678438,0.01840721262208866,0.28846153846153844,0,0.17000718390804598
MT,73,415,0,0,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0,0,560.5,0.2856378233719893,0.3805530776092774,0.3106155218554862,0.0231935771632471,0.0,0,0.17001873828856964
AZ,99,415,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,605.1,0.3275491654272021,0.34258800198314326,0.31548504379441417,0.014377788795240454,1.2121212121212122,0,0.16997981836528758
MS,120,408,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,594.0,0.35707070707070704,0.3525252525252525,0.28148148148148144,0.008922558922558922,0.25,0,0.17001414427157002
ID,77,415,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2,1,742.5,0.33912457912457916,0.277037037037037,0.3706397306397306,0.0131986531986532,0.7792207792207791,0,0.17001588562351072
IA,98,510,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,577.9999999999999,0.2788927335640139,0.4363321799307959,0.2771626297577855,0.007612456747404846,1.2244897959183674,1,0.16997518610421836
MA,108,415,0,0,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0,0,511.0,0.3489236790606654,0.3698630136986301,0.2526418786692759,0.02857142857142857,0.0,0,0.16999439147504206
VT,135,415,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,461.2,0.32892454466608845,0.2580225498699046,0.39028620988725066,0.02276669557675629,0.0,0,0.17000659195781148
KY,95,408,0,0,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1,0,576.4000000000001,0.2342123525329632,0.3185287994448299,0.4255725190839694,0.021686328938237333,0.31578947368421056,0,0.16999999999999998
IN,122,408,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0,604.0999999999999,0.2822380400595928,0.2875351762953154,0.4115212713126966,0.018705512332395303,0.24590163934426232,0,0.17002932551319647
AZ,95,408,0,0,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,627.0999999999999,0.3796842608834317,0.2985169829373306,0.3029819805453676,0.0188167756338702,1.2631578947368423,0,0.17001259974800503
MI,36,510,0,1,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2,0,679.8,0.4139452780229479,0.2974404236540159,0.27537511032656664,0.01323918799646955,1.6666666666666667,1,0.17000710732054017
NM,93,510,0,1,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0,509.2,0.23153967007069914,0.3230557737627651,0.4261586802827966,0.0192458758837392,0.3225806451612903,1,0.16997455470737913
CO,141,415,0,1,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1,0,509.20000000000005,0.2918303220738413,0.25746268656716415,0.4308719560094265,0.01983503534956795,0.2127659574468085,1,0.16998654104979813
UT,157,408,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0,628.7,0.36551614442500396,0.2352473357722284,0.38396691585811993,0.015269603944647684,0.5732484076433121,0,0.17001740644038293
MI,120,408,0,0,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0,609.6999999999999,0.27062489749056917,0.5202558635394456,0.1955059865507627,0.013613252419222571,0.25,0,0.17
MA,103,415,0,0,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0,643.7,0.2874009631816063,0.34690073015379835,0.34612397079384805,0.01957433587074724,0.5825242718446603,0,0.16999999999999998
AL,98,408,0,0,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,591.6999999999999,0.272097346628359,0.3226297110021971,0.3848233902315363,0.020449552137907726,1.2244897959183674,0,0.17
DE,125,408,0,0,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0,593.8,0.21337150555742676,0.3469181542606939,0.4173122263388347,0.022398113843044798,0.24,0,0.17000789265982635
AZ,63,415,0,0,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1,0,449.29999999999995,0.13109281103939463,0.37747607389272203,0.47050968172713115,0.020921433340752284,0.47619047619047616,0,0.1699490662139219
ME,36,510,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1,610.0,0.3226229508196721,0.4178688524590164,0.22672131147540986,0.03278688524590164,0.0,1,0.17002032520325203
NJ,64,510,0,0,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0,386.59999999999997,0.4205897568546301,0.3939472322814279,0.1487325400931195,0.03673047077082256,0.46875,0,0.16998769987699877
